ACCOUNTCLIENTCATEGORY,ACCOUNTID,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,Amount,CREATEDDATE,Category,Close_Date,DAYSSINCELASTACTIVITY,FORECASTCATEGORY,ID,ISCLOSED,ISWON,LEADSOURCE,LastProcessedDate,OWNERID,Opportunity_Age,Opportunity_GoldenId,Opportunity_Name,Opportunity_Owner,PROBABILITY,STAGESORTORDER,Stage_Name
Preferred,0015f00000FJYJpAAP,Millennials,Brooks Wintheiser,117100,2022-04-20 00:00:00,Home Equity,2022-08-18 00:00:00,277,Commit,0065f000002PL8QAAW,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jyFAAQ,208,006Dm000003RqgcIAC,Brooks Wintheiser - Loan - 7300,Allen Advisor,0.84,4,4. Underwriting
Preferred,0015f00000FJYJrAAP,Mass Market,Drew Haag,392900,2022-05-21 00:00:00,Residential,2022-08-19 00:00:00,747,Best Case,0065f0000089iJ6AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,350,006Dm000003RqgcIAC,Drew Haag - Mortgage - 392900,Allen Advisor,0.62,1,1. Doc Prep
Preferred,0015f00000FJYOgAAP,Mass Market,Sacha Schneider,464400,2022-05-12 00:00:00,Residential,2022-08-20 00:00:00,339,Best Case,0065f0000089iFdAAI,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,367,006Dm000003RqgcIAC,Sacha Schneider - Mortgage - 464400,Allen Advisor,0.9,4,4. Underwriting
Preferred,0015f00000FJXu3AAH,Retired,Mr. Rae Pollich,232900,2022-05-14 00:00:00,Residential,2022-08-22 00:00:00,619,Omitted,0065f000002PL8XAAW,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jyBAAQ,303,006Dm000003RqgcIAC,Mr. Rae Pollich - Mortgage - 232900,Allen Advisor,0.62,2,3. Credit Review
Preferred,0015f00000FJY3VAAX,Mass Market,Sindy Jakubowski,200700,2022-05-17 00:00:00,Residential,2022-08-25 00:00:00,362,Commit,0065f0000089iDDAAY,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,252,006Dm000003RqgcIAC,Sindy Jakubowski - Mortgage - 200700,Allen Advisor,0.84,4,4. Underwriting
Regular,0015f00000FJXoxAAH,Millennials,Blake Marks,270500,2022-05-02 00:00:00,Residential,2022-08-30 00:00:00,319,Closed,0065f0000089iCwAAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxVAAQ,285,006Dm000003RqgcIAC,Blake Marks - Mortgage - 270500,Allen Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXoxAAH,Mass Market,Corrine Okuneva,180800,2022-05-17 00:00:00,Residential,2022-09-04 00:00:00,632,Best Case,0065f0000089iD0AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxVAAQ,362,006Dm000003RqgcIAC,Corrine Okuneva - Mortgage - 180800,Allen Advisor,0.65,1,3. Credit Review
Preferred,0015f00000FJXomAAH,High Net Worth Families,Alethea Rowe,319300,2022-05-10 00:00:00,Residential,2022-09-07 00:00:00,577,Closed,0065f0000089iHIAAY,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,343,006Dm000003RqgcIAC,Alethea Rowe - Mortgage - 319300,Allen Advisor,0.59,2,2. Qualification
Preferred,0015f00000FJYOWAA5,Millennials,Sharie Russel,348400,2022-06-01 00:00:00,Residential,2022-09-09 00:00:00,252,Omitted,0065f0000089iIgAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,284,006Dm000003RqgcIAC,Sharie Russel - Mortgage - 348400,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJYJrAAP,Retired,Todd Kuhic I,321600,2022-05-22 00:00:00,Residential,2022-09-09 00:00:00,398,Best Case,0065f0000089iJ7AAI,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,399,006Dm000003RqgcIAC,Todd Kuhic I - Mortgage - 321600,Mark Garet,0.74,3,3. Credit Review
Preferred,0015f00000FJYOPAA5,High Net Worth Families,Inge Mohr,66500,2022-05-26 00:00:00,Home Equity,2022-09-13 00:00:00,352,Closed,0065f0000089iIfAAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,282,006Dm000003RqgcIAC,Inge Mohr - Loan - 17700,Allen Advisor,0.63,2,2. Qualification
Regular,0015f00000FJY3dAAH,High Net Worth Families,Anita Champlin,422100,2022-06-08 00:00:00,Residential,2022-09-16 00:00:00,560,Best Case,0065f0000089iD4AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxUAAQ,366,006Dm000003RqgcIAC,Anita Champlin - Mortgage - 422100,Allen Advisor,0.5,1,1. Doc Prep
Preferred,0015f00000FJYJtAAP,High Net Worth Families,Mr. Denisse Purdy,340700,2022-05-30 00:00:00,Residential,2022-09-17 00:00:00,865,Best Case,0065f0000089iIhAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxjAAA,300,006Dm000003RqgcIAC,Mr. Denisse Purdy - Mortgage - 340700,Mark Garet,0.48,1,1. Doc Prep
Preferred,0015f00000FJY3TAAX,High Net Worth Families,Reginald Brekke,141200,2022-05-26 00:00:00,Home Equity,2022-09-23 00:00:00,695,Closed,0065f000002PL7yAAG,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxUAAQ,357,006Dm000003RqgcIAC,Reginald Brekke - Loan - 12000,Brenda Banker,0.65,2,2. Qualification
Preferred,0015f00000FJYJxAAP,Mass Market,Eloy Gibson,285400,2022-06-10 00:00:00,Residential,2022-10-08 00:00:00,707,Omitted,0065f0000089iM8AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074k1WAAQ,373,006Dm000003RqgcIAC,Eloy Gibson - Mortgage - 285400,Brenda Banker,,6,6. Closed Lost
Regular,0015f00000FJYJrAAP,Millennials,Jill Stracke,66500,2022-06-10 00:00:00,Home Equity,2022-10-08 00:00:00,873,Omitted,0065f0000089iJ7AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,358,006Dm000003RqgcIAC,Jill Stracke - Loan - 22500,Mark Garet,,6,6. Closed Lost
Regular,0015f00000FJXpXAAX,Millennials,Terrence Waters,467600,2022-02-03 00:00:00,Residential,2022-10-12 00:00:00,680,Omitted,0065f0000089iJ0AAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,298,006Dm000003RqgcIAC,Terrence Waters - Mortgage - 467600,Chelsea Advisor,,6,6. Closed Lost
Preferred,0015f00000FJXpMAAX,Millennials,Louis Bode,382300,2022-02-04 00:00:00,Residential,2022-10-12 00:00:00,230,Pipeline,0065f0000089iIbAAI,FALSE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxfAAA,262,006Dm000003RqgcIAC,Louis Bode - Mortgage - 382300,Brenda Banker,0.77,4,4. Underwriting
Preferred,0015f00000FJXpWAAX,High Net Worth Families,Jim Lockman DVM,180100,2022-02-10 00:00:00,Residential,2022-10-12 00:00:00,630,Omitted,0065f0000089iESAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,314,006Dm000003RqgcIAC,Jim Lockman DVM - Mortgage - 180100,Allen Advisor,0.6,2,3. Credit Review
Regular,0015f00000FJXpaAAH,Millennials,Krissy Stamm,368800,2022-02-08 00:00:00,Residential,2022-10-12 00:00:00,245,Commit,0065f0000089iJBAAY,FALSE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxdAAA,251,006Dm000003RqgcIAC,Krissy Stamm - Mortgage - 368800,Brenda Banker,0.66,2,2. Qualification
Regular,0015f00000FJXpWAAX,Retired,Ed Torphy III,390700,2022-02-22 00:00:00,Residential,2022-06-02 00:00:00,265,Omitted,0065f0000089iFBAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,287,006Dm000003RqgcIAC,Ed Torphy III - Mortgage - 390700,Chelsea Advisor,0.61,2,3. Credit Review
Regular,0015f00000FJXpiAAH,Mass Market,Rueben Leffler,413200,2022-02-16 00:00:00,Residential,2022-06-06 00:00:00,684,Omitted,0065f000002PL8kAAG,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074k3tAAA,287,006Dm000003RqgcIAC,Rueben Leffler - Mortgage - 413200,Brenda Banker,,6,6. Closed Lost
Preferred,0015f00000FJXpfAAH,Millennials,Gayla Quigley,90900,2022-02-07 00:00:00,Home Equity,2022-06-07 00:00:00,259,Best Case,0065f0000089iFMAAY,FALSE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxTAAQ,302,006Dm000003RqgcIAC,Gayla Quigley - Loan - 9400,Mark Garet,0.84,3,3. Credit Review
Regular,0015f00000FJXpXAAX,Retired,Dr. David Waelchi,257600,2022-02-21 00:00:00,Residential,2022-06-11 00:00:00,771,Closed,0065f0000089iJ0AAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxYAAQ,278,006Dm000003RqgcIAC,Dr. David Waelchi - Mortgage - 257600,Chelsea Advisor,0.65,2,2. Qualification
Preferred,0015f00000FJXpMAAX,High Net Worth Families,Annice Leannon,248200,2022-03-04 00:00:00,Residential,2022-06-12 00:00:00,284,Closed,0065f0000089iIbAAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxeAAA,284,006Dm000003RqgcIAC,Annice Leannon - Mortgage - 248200,Chelsea Advisor,0.62,2,2. Qualification
Preferred,0015f00000FJXpGAAX,High Net Worth Families,Carolin McLaughlin,265300,2022-03-04 00:00:00,Residential,2022-06-12 00:00:00,589,Commit,0065f000002PL8KAAW,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxYAAQ,289,006Dm000003RqgcIAC,Carolin McLaughlin - Mortgage - 265300,Allen Advisor,0.79,4,4. Underwriting
Regular,0015f00000FJXoyAAH,Mass Market,Randall Fay,184500,2022-02-22 00:00:00,Residential,2022-06-12 00:00:00,891,Closed,0065f000002PL83AAG,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074k3tAAA,229,006Dm000003RqgcIAC,Randall Fay - Mortgage - 184500,Allen Advisor,0.61,2,3. Credit Review
Regular,0015f00000FJXpfAAH,Mass Market,Moises Hane,104700,2022-03-07 00:00:00,Home Equity,2022-06-15 00:00:00,505,Omitted,0065f0000089iDLAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxTAAQ,308,006Dm000003RqgcIAC,Moises Hane - Loan - 12000,Brenda Banker,,6,6. Closed Lost
Preferred,0015f00000FJXpWAAX,Affluent Professionals,Marylou Bernhard,58400,2022-03-14 00:00:00,Home Equity,2022-06-22 00:00:00,382,Commit,0065f0000089iFBAAY,FALSE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,410,006Dm000003RqgcIAC,Marylou Bernhard - Loan - 6200,Mark Garet,0.92,3,3. Credit Review
Preferred,0015f00000FJXouAAH,Affluent Professionals,Lauren Boehm PhD,400600,2022-03-06 00:00:00,Residential,2022-06-24 00:00:00,239,Commit,0065f0000089iHTAAY,FALSE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxlAAA,250,006Dm000003RqgcIAC,Lauren Boehm PhD - Mortgage - 400600,Allen Advisor,0.61,2,2. Qualification
Preferred,0015f00000FJXpUAAX,Millennials,Giovanni Lockman,212300,2022-03-06 00:00:00,Residential,2022-06-24 00:00:00,772,Closed,0065f0000089iNKAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxgAAA,340,006Dm000003RqgcIAC,Giovanni Lockman - Mortgage - 212300,Chelsea Advisor,0.6,2,2. Qualification
Regular,0015f00000FJXovAAH,High Net Worth Families,Michele Harris,127900,2022-03-16 00:00:00,Home Equity,2022-06-24 00:00:00,529,Best Case,0065f0000089iJ4AAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f000005glsHAAQ,226,006Dm000003RqgcIAC,Michele Harris - Loan - 22600,Allen Advisor,0.43,1,1. Doc Prep
Regular,0015f00000FJYKPAA5,Affluent Professionals,Lillian West III,449300,2022-02-26 00:00:00,Residential,2022-06-26 00:00:00,588,Best Case,0065f0000089iFqAAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxeAAA,306,006Dm000003RqgcIAC,Lillian West III - Mortgage - 449300,Allen Advisor,0.44,1,3. Credit Review
Regular,0015f00000FJXpiAAH,Retired,Hyon Kunze,408900,2022-03-22 00:00:00,Residential,2022-06-30 00:00:00,469,Commit,0065f0000089iNGAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074k3tAAA,276,006Dm000003RqgcIAC,Hyon Kunze - Mortgage - 408900,Brenda Banker,0.88,4,4. Underwriting
Preferred,0015f00000FJXpIAAX,Millennials,Yan Dach,100900,2022-03-24 00:00:00,Home Equity,2022-07-02 00:00:00,564,Closed,0065f0000089iF0AAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,303,006Dm000003RqgcIAC,Yan Dach - Loan - 10900,Chelsea Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXpaAAH,Mass Market,Virgilio Bailey,327400,2022-03-07 00:00:00,Residential,2022-07-05 00:00:00,273,Best Case,0065f0000089iNJAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxdAAA,250,006Dm000003RqgcIAC,Virgilio Bailey - Mortgage - 327400,Allen Advisor,0.62,1,1. Doc Prep
Preferred,0015f00000FJXpPAAX,Retired,Gilberto Klocko,96900,2022-03-28 00:00:00,Home Equity,2022-07-06 00:00:00,348,Best Case,0065f0000089iDMAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxfAAA,270,006Dm000003RqgcIAC,Gilberto Klocko - Loan - 22600,Allen Advisor,0.44,1,1. Doc Prep
Preferred,0015f00000FJXpJAAX,Retired,Concetta Schowalter,367300,2022-03-20 00:00:00,Residential,2022-07-08 00:00:00,601,Omitted,0065f0000089iDVAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxfAAA,290,006Dm000003RqgcIAC,Concetta Schowalter - Mortgage - 367300,Chelsea Advisor,,6,6. Closed Lost
Regular,0015f00000FJXpSAAX,Mass Market,Clint Weissnat III,141500,2022-03-23 00:00:00,Home Equity,2022-07-11 00:00:00,404,Closed,0065f0000089iK4AAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,287,006Dm000003RqgcIAC,Clint Weissnat III - Loan - 16400,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpFAAX,Millennials,Dahlia Kertzmann III,52700,2022-03-16 00:00:00,Home Equity,2022-07-14 00:00:00,263,Closed,0065f0000089iG7AAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxdAAA,288,006Dm000003RqgcIAC,Dahlia Kertzmann III - Loan - 13800,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJXogAAH,High Net Worth Families,Cleo Stehr,55000,2022-03-16 00:00:00,Home Equity,2022-07-14 00:00:00,252,Best Case,0065f0000089iEZAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,217,006Dm000003RqgcIAC,Cleo Stehr - Loan - 9900,Allen Advisor,0.42,1,1. Doc Prep
Regular,0015f00000FJXpNAAX,Affluent Professionals,Erika Runolfsson,467800,2022-04-06 00:00:00,Residential,2022-07-15 00:00:00,883,Closed,0065f0000089iGhAAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,248,006Dm000003RqgcIAC,Erika Runolfsson - Mortgage - 467800,Chelsea Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXpUAAX,Retired,Kasey Hettinger,364100,2022-03-17 00:00:00,Residential,2022-07-15 00:00:00,370,Omitted,0065f0000089iNKAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,227,006Dm000003RqgcIAC,Kasey Hettinger - Mortgage - 364100,Chelsea Advisor,,6,6. Closed Lost
Regular,0015f00000FJXpWAAX,Mass Market,Nelson Powlowski,342000,2022-04-09 00:00:00,Residential,2022-07-18 00:00:00,887,Closed,0065f0000089iESAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxXAAQ,286,006Dm000003RqgcIAC,Nelson Powlowski - Mortgage - 342000,Chelsea Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpYAAX,Affluent Professionals,Krysta Hane,438100,2022-04-10 00:00:00,Residential,2022-07-19 00:00:00,612,Omitted,0065f0000089iIZAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxdAAA,382,006Dm000003RqgcIAC,Krysta Hane - Mortgage - 438100,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJXpfAAH,High Net Worth Families,Johnie Morissette,323600,2022-03-31 00:00:00,Residential,2022-07-19 00:00:00,615,Commit,0065f0000089iGOAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxTAAQ,285,006Dm000003RqgcIAC,Johnie Morissette - Mortgage - 323600,Chelsea Advisor,0.74,4,4. Underwriting
Regular,0015f00000FJXpMAAX,High Net Worth Families,Trula Nolan PhD,455000,2022-04-11 00:00:00,Residential,2022-07-20 00:00:00,926,Omitted,0065f0000089iGFAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,226,006Dm000003RqgcIAC,Trula Nolan PhD - Mortgage - 455000,Brenda Banker,,6,6. Closed Lost
Regular,0015f00000FJXovAAH,Mass Market,Millard McClure,189000,2022-04-12 00:00:00,Residential,2022-07-21 00:00:00,328,Best Case,0065f0000089iJ4AAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxfAAA,310,006Dm000003RqgcIAC,Millard McClure - Mortgage - 189000,Allen Advisor,0.5,1,3. Credit Review
Regular,0015f00000FJXoeAAH,Millennials,Debbie Ledner,351600,2022-03-24 00:00:00,Residential,2022-07-22 00:00:00,621,Omitted,0065f0000089iIJAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxlAAA,380,006Dm000003RqgcIAC,Debbie Ledner - Mortgage - 351600,Chelsea Advisor,0.64,2,3. Credit Review
Preferred,0015f00000FJXpgAAH,Retired,Ms. Mitchell McKenzie,136100,2022-04-13 00:00:00,Home Equity,2022-07-22 00:00:00,228,Best Case,0065f0000089iDXAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxmAAA,264,006Dm000003RqgcIAC,Ms. Mitchell McKenzie - Loan - 9000,Allen Advisor,0.58,1,1. Doc Prep
Regular,0015f00000FJYKPAA5,Retired,Kamilah Sauer,414700,2022-04-03 00:00:00,Residential,2022-08-01 00:00:00,840,Closed,0065f0000089iFPAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,232,006Dm000003RqgcIAC,Kamilah Sauer - Mortgage - 414700,Allen Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXogAAH,Retired,Anne Littel,498800,2022-04-04 00:00:00,Residential,2022-08-02 00:00:00,713,Closed,0065f0000089iEZAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxYAAQ,204,006Dm000003RqgcIAC,Anne Littel - Mortgage - 498800,Chelsea Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpJAAX,Millennials,Mr. Ramonita Sauer,256700,2022-04-25 00:00:00,Residential,2022-08-03 00:00:00,304,Closed,0065f0000089iF6AAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxfAAA,281,006Dm000003RqgcIAC,Mr. Ramonita Sauer - Mortgage - 256700,Brenda Banker,0.6,2,3. Credit Review
Regular,0015f00000FJXpUAAX,Millennials,Gary Wolf,352600,2022-04-26 00:00:00,Residential,2022-08-04 00:00:00,886,Omitted,0065f0000089iFZAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxYAAQ,212,006Dm000003RqgcIAC,Gary Wolf - Mortgage - 352600,Allen Advisor,,6,6. Closed Lost
Preferred,0015f00000FJYKTAA5,High Net Worth Families,Jeff Mitchell,179800,2022-04-09 00:00:00,Residential,2022-08-07 00:00:00,613,Closed,0065f0000089iFQAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,290,006Dm000003RqgcIAC,Jeff Mitchell - Mortgage - 179800,Allen Advisor,0.59,2,2. Qualification
Regular,0015f00000FJXpRAAX,Millennials,Winnie Luettgen,355000,2022-05-01 00:00:00,Residential,2022-08-09 00:00:00,545,Closed,0065f0000089iEnAAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxfAAA,334,006Dm000003RqgcIAC,Winnie Luettgen - Mortgage - 355000,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpcAAH,High Net Worth Families,Rodger Larkin,278900,2022-04-12 00:00:00,Residential,2022-08-10 00:00:00,388,Omitted,0065f0000089iE1AAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,236,006Dm000003RqgcIAC,Rodger Larkin - Mortgage - 278900,Brenda Banker,,6,6. Closed Lost
Regular,0015f00000FJXpaAAH,Affluent Professionals,Juliane Monahan,228900,2022-04-13 00:00:00,Residential,2022-08-11 00:00:00,678,Closed,0065f0000089iNJAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxeAAA,310,006Dm000003RqgcIAC,Juliane Monahan - Mortgage - 228900,Brenda Banker,0.58,2,2. Qualification
Preferred,0015f00000FJYKTAA5,Retired,Micaela Dach MD,471200,2022-04-26 00:00:00,Residential,2022-08-14 00:00:00,290,Commit,0065f0000089iE4AAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,240,006Dm000003RqgcIAC,Micaela Dach MD - Mortgage - 471200,Brenda Banker,0.76,4,4. Underwriting
Preferred,0015f00000FJXpQAAX,Retired,Mr. Jarrod Heller,35400,2022-05-13 00:00:00,Home Equity,2022-08-21 00:00:00,273,Best Case,0065f0000089iDYAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,274,006Dm000003RqgcIAC,Mr. Jarrod Heller - Loan - 7500,Brenda Banker,0.47,1,1. Doc Prep
Regular,0015f00000FJYKVAA5,Affluent Professionals,Mr. Lakendra Kutch,47800,2022-05-15 00:00:00,Home Equity,2022-08-23 00:00:00,781,Closed,0065f0000089iJyAAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxXAAQ,326,006Dm000003RqgcIAC,Mr. Lakendra Kutch - Loan - 8000,Brenda Banker,1,5,5. Closed Won
Preferred,0015f00000FJXozAAH,Retired,Miss Isaac Gleichner,169200,2022-05-20 00:00:00,Residential,2022-08-28 00:00:00,505,Commit,0065f0000089iDNAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxTAAQ,280,006Dm000003RqgcIAC,Miss Isaac Gleichner - Mortgage - 169200,Allen Advisor,0.73,4,4. Underwriting
Preferred,0015f00000FJXpYAAX,Mass Market,Ms. Stanford Rutherford,71900,2022-05-22 00:00:00,Home Equity,2022-08-30 00:00:00,245,Closed,0065f0000089iHGAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxdAAA,252,006Dm000003RqgcIAC,Ms. Stanford Rutherford - Loan - 11600,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpJAAX,Retired,Ms. Jackie Botsford,328700,2022-05-26 00:00:00,Residential,2022-09-03 00:00:00,336,Commit,0065f0000089iDVAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,284,006Dm000003RqgcIAC,Ms. Jackie Botsford - Mortgage - 328700,Allen Advisor,0.91,4,4. Underwriting
Preferred,0015f00000FJXpUAAX,High Net Worth Families,Gertrude Marks,410600,2022-05-06 00:00:00,Residential,2022-09-03 00:00:00,689,Closed,0065f0000089iFcAAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,290,006Dm000003RqgcIAC,Gertrude Marks - Mortgage - 410600,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpNAAX,Retired,Abbey Goyette,125400,2022-05-11 00:00:00,Home Equity,2022-09-08 00:00:00,220,Best Case,0065f0000089iGhAAI,FALSE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxYAAQ,236,006Dm000003RqgcIAC,Abbey Goyette - Loan - 9200,Allen Advisor,0.6,2,2. Qualification
Regular,0015f00000FJXpdAAH,High Net Worth Families,Lurline Morissette,497300,2022-05-13 00:00:00,Residential,2022-09-10 00:00:00,687,Omitted,0065f0000089iNVAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,302,006Dm000003RqgcIAC,Lurline Morissette - Mortgage - 497300,Allen Advisor,,6,6. Closed Lost
Preferred,0015f00000FJXpZAAX,Millennials,Ola Reilly,475800,2022-06-05 00:00:00,Residential,2022-09-13 00:00:00,688,Omitted,0065f0000089iHCAAY,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxjAAA,374,006Dm000003RqgcIAC,Ola Reilly - Mortgage - 475800,Brenda Banker,,6,6. Closed Lost
Preferred,0015f00000FJYKPAA5,Mass Market,Neal Kilback,434700,2022-05-27 00:00:00,Residential,2022-09-14 00:00:00,324,Closed,0065f0000089iFqAAI,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,280,006Dm000003RqgcIAC,Neal Kilback - Mortgage - 434700,Allen Advisor,1,5,5. Closed Won
Preferred,0015f00000FJYKTAA5,Millennials,Magaret Mayert,107900,2022-06-11 00:00:00,Home Equity,2022-09-19 00:00:00,870,Commit,0065f0000089iDkAAI,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxZAAQ,286,006Dm000003RqgcIAC,Magaret Mayert - Loan - 21500,Allen Advisor,0.84,4,4. Underwriting
Preferred,0015f00000FJXpZAAX,Mass Market,Tanna Moore,254900,2022-06-04 00:00:00,Residential,2022-09-22 00:00:00,730,Commit,0065f0000089iHMAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxcAAA,290,006Dm000003RqgcIAC,Tanna Moore - Mortgage - 254900,Mark Garet,0.71,4,4. Underwriting
Preferred,0015f00000FJXpaAAH,Millennials,Erin Ullrich,82100,2022-06-04 00:00:00,Home Equity,2022-09-22 00:00:00,794,Closed,0065f0000089iGSAAY,TRUE,TRUE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxdAAA,363,006Dm000003RqgcIAC,Erin Ullrich - Loan - 22200,Allen Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXpUAAX,Affluent Professionals,Fritz Jakubowski,481000,2022-05-31 00:00:00,Residential,2022-09-28 00:00:00,654,Omitted,0065f000002PL7rAAG,TRUE,FALSE,Marketing Event,2022-09-05 00:00:00,0055f0000074jxgAAA,214,006Dm000003RqgcIAC,Fritz Jakubowski - Mortgage - 481000,Allen Advisor,,6,6. Closed Lost
