ConvertedOppAmount,CreatedDate,IsConverted,LastProcessedDate,LeadActivities,LeadSource,Name,Owner,Owner_Name,Owner_SmallPhotoUrl,Rating,Status
,2022-10-26,FALSE,2023-11-29,5,Employee Referral,Giacopo Stodd,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-10-19,TRUE,2023-11-29,23,Other,Gerek Holhouse,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Working  - Contacted
,2022-10-28,FALSE,2023-11-29,14,Other,Darwin,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Converted
,2022-11-10,FALSE,2023-11-29,12,Employee Referral,Berni Brantzen,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Converted
,2022-11-06,TRUE,2023-11-29,15,Trade Show,Tressa Dunderdale,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Qualified
,2022-11-03,FALSE,2023-11-29,15,Other,Millicent Bishop,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing
,2022-10-23,FALSE,2023-11-29,11,Employee Referral,Kardashian,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Nurturing - Contacted
,2022-11-08,FALSE,2023-11-29,14,Advertisement,Edie Fingleton,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Working
13000,2022-10-17,TRUE,2023-11-29,9,Purchased List,Agnes Minichi,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working  - Contacted
12800,2022-10-30,FALSE,2023-11-29,9,Employee Referral,Arnaldo Izaks,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Qualified
,2022-10-15,FALSE,2023-11-29,15,Other,Fonz Kahler,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing
,2022-10-26,FALSE,2023-11-29,22,Other,Connery,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,New
36000,2022-10-26,FALSE,2023-11-29,,Other,Einstein,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working
,2022-11-07,TRUE,2023-11-29,5,Employee Referral,Em Curnnok,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
68000,2022-11-10,FALSE,2023-11-29,17,Other,Sandi Prugel,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-11-03,FALSE,2023-11-29,5,Advertisement,Shayne Fairn,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Nurturing - Contacted
,2022-10-18,FALSE,2023-11-29,5,Advertisement,Cindi Eby,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-11-02,TRUE,2023-11-29,16,Employee Referral,Aubry Hartil,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-10-26,FALSE,2023-11-29,,Purchased List,Hilton,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Converted
,2022-11-10,FALSE,2023-11-29,15,Other,Caz Broster,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-10-24,FALSE,2023-11-29,12,Advertisement,Niki Grigorkin,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
10500,2022-10-16,TRUE,2023-11-29,10,Employee Referral,Candice Tregear,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,New
,2022-11-03,FALSE,2023-11-29,22,Trade Show,Hitler,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
13000,2022-11-05,FALSE,2023-11-29,12,Other,Julianna Sergeant,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Nurturing
,2022-10-25,FALSE,2023-11-29,7,Employee Referral,Jillana Niland,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Qualified
37500,2022-11-03,TRUE,2023-11-29,25,Other,Fknnedy,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Working  - Contacted
,2022-10-14,FALSE,2023-11-29,10,Other,Baillie Lowman,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-11-09,FALSE,2023-11-29,7,Purchased List,Nicholson,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-11-02,FALSE,2023-11-29,12,Advertisement,Penelope Beagles,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Nurturing - Contacted
,2022-10-20,TRUE,2023-11-29,13,Employee Referral,Andrea Kingsnode,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,New
,2022-10-27,FALSE,2023-11-29,9,Other,Ingunna McCauley,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing
,2022-11-02,FALSE,2023-11-29,25,Other,Rosene Seiler,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Working  - Contacted
,2022-10-21,TRUE,2023-11-29,8,Advertisement,Clywd Morales,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
,2022-11-05,FALSE,2023-11-29,14,Employee Referral,Ailene Ropert,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Working
,2022-10-18,FALSE,2023-11-29,5,Other,Grethel Aries,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
46000,2022-11-04,FALSE,2023-11-29,17,Other,Pooh Bennit,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Converted
,2022-10-24,TRUE,2023-11-29,17,Trade Show,Justus Berlin,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Working  - Contacted
26000,2022-11-01,FALSE,2023-11-29,9,Advertisement,Troy Newns,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-11-04,FALSE,2023-11-29,19,Employee Referral,Hadria Mahaddie,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing - Contacted
,2022-10-16,FALSE,2023-11-29,24,Employee Referral,Junina Howieson,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Converted
18000,2022-10-23,FALSE,2023-11-29,12,Purchased List,Joanna Dhenin,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Nurturing
24500,2022-11-03,TRUE,2023-11-29,10,Other,Brennan Waylett,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-11-08,FALSE,2023-11-29,13,Other,Renelle Roch,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Qualified
,2022-10-14,FALSE,2023-11-29,18,Employee Referral,Mufi Cutford,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Converted
,2022-10-21,FALSE,2023-11-29,5,Other,Karie Marple,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,New
,2022-11-02,TRUE,2023-11-29,25,Advertisement,Meryl Klawi,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Nurturing
,2022-11-09,FALSE,2023-11-29,7,Purchased List,Bernadene Hammerich,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working
,2022-11-03,FALSE,2023-11-29,13,Other,Sonnie Outlaw,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Converted
,2022-10-19,FALSE,2023-11-29,10,Advertisement,Olivier Ellerker,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing - Contacted
,2022-11-05,TRUE,2023-11-29,14,Employee Referral,Henrik Landrick,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Working  - Contacted
,2022-10-29,FALSE,2023-11-29,7,Other,Aleda Zanotti,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-10-16,FALSE,2023-11-29,,Other,Benedicto Drake,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Qualified
,2022-10-24,TRUE,2023-11-29,15,Employee Referral,Dalli Izchaki,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,New
,2022-11-09,FALSE,2023-11-29,,Trade Show,Leon,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Working  - Contacted
,2022-10-24,FALSE,2023-11-29,10,Employee Referral,Easter Karpe,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing
,2022-10-30,FALSE,2023-11-29,14,Advertisement,Goldberg,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working
30000,2022-10-26,TRUE,2023-11-29,15,Purchased List,Aprilette Conville,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
,2022-11-08,FALSE,2023-11-29,21,Other,Henrieta Goolding,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Qualified
,2022-11-01,FALSE,2023-11-29,7,Other,Yolanthe Carbett,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Nurturing - Contacted
,2022-10-15,FALSE,2023-11-29,13,Other,Albrecht de'-Ancy Willis,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Converted
,2022-11-10,FALSE,2023-11-29,10,Other,Lammond Semorad,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working  - Contacted
62000,2022-10-18,TRUE,2023-11-29,25,Employee Referral,Minta Gauthorpp,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Working
,2022-10-31,FALSE,2023-11-29,17,Employee Referral,Carolee Slafford,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-11-10,FALSE,2023-11-29,10,Advertisement,Fayth Agglione,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Qualified
,2022-10-24,FALSE,2023-11-29,6,Other,Clemmy Cullingford,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Nurturing
,2022-10-18,TRUE,2023-11-29,15,Other,Mario Kitchenside,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Nurturing - Contacted
,2022-10-23,FALSE,2023-11-29,15,Advertisement,Edeline Casserly,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,New
,2022-11-02,FALSE,2023-11-29,10,Employee Referral,Elizabeth,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-11-08,FALSE,2023-11-29,23,Purchased List,Bevvy Fifoot,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Qualified
,2022-10-29,TRUE,2023-11-29,22,Other,Enrica Colafate,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Working  - Contacted
,2022-10-15,FALSE,2023-11-29,10,Other,Lea Pester,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing
,2022-11-09,FALSE,2023-11-29,19,Advertisement,Rodge Kytter,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
,2022-10-22,TRUE,2023-11-29,11,Employee Referral,Lee Stonall,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working
,2022-11-03,FALSE,2023-11-29,10,Employee Referral,Otis Geraldo,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Nurturing - Contacted
,2022-10-26,FALSE,2023-11-29,13,Trade Show,Langston Idale,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-11-10,FALSE,2023-11-29,8,Other,Elladine Williams,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Qualified
,2022-10-20,FALSE,2023-11-29,13,Purchased List,Faustina Ashall,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Working  - Contacted
,2022-10-29,TRUE,2023-11-29,22,Employee Referral,Torie Josefovic,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Converted
,2022-10-19,FALSE,2023-11-29,9,Other,Fabian Stadding,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Converted
12500,2022-11-08,FALSE,2023-11-29,5,Other,Cointon Korejs,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,New
,2022-10-27,FALSE,2023-11-29,20,Employee Referral,Norine Meriguet,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-25,TRUE,2023-11-29,15,Advertisement,Modesta Dyton,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Nurturing
17500,2022-10-31,FALSE,2023-11-29,7,Other,Harris Luckes,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
69000,2022-10-18,FALSE,2023-11-29,9,Other,Candice Comerford,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working  - Contacted
,2022-10-22,FALSE,2023-11-29,22,Employee Referral,Thatcher,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Working
,2022-10-31,TRUE,2023-11-29,13,Advertisement,Jobs,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Converted
,2022-11-10,FALSE,2023-11-29,11,Trade Show,Rudolph Carvil,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Converted
,2022-10-17,FALSE,2023-11-29,9,Employee Referral,Hannah Klewi,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,New
,2022-10-28,FALSE,2023-11-29,8,Purchased List,Marita Mackie,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-21,TRUE,2023-11-29,20,Advertisement,Far Hick,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-11-10,FALSE,2023-11-29,9,Other,Sabra Dobrowski,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Converted
,2022-11-10,FALSE,2023-11-29,12,Employee Referral,Stavros Ruston,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Qualified
38000,2022-11-02,FALSE,2023-11-29,12,Other,Kaitlynn Gair,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing
,2022-11-06,TRUE,2023-11-29,16,Advertisement,Rachael Le Huquet,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-10-14,FALSE,2023-11-29,8,Other,Daveta Outibridge,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Converted
,2022-10-22,FALSE,2023-11-29,12,Employee Referral,Idalina Heatly,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Nurturing - Contacted
,2022-10-19,TRUE,2023-11-29,10,Other,Malissa Roussell,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Qualified
45000,2022-10-21,FALSE,2023-11-29,14,Purchased List,Janice Petchell,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-10-30,FALSE,2023-11-29,11,Other,Doroteya Kenion,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working
,2022-11-08,FALSE,2023-11-29,17,Other,Hamil Bathowe,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Converted
,2022-10-27,TRUE,2023-11-29,6,Advertisement,Genvieve Trimme,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,New
34000,2022-10-19,FALSE,2023-11-29,10,Employee Referral,Cordy Dyment,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Working  - Contacted
86000,2022-11-09,FALSE,2023-11-29,10,Employee Referral,Linc Migheli,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Working
,2022-10-29,FALSE,2023-11-29,10,Trade Show,Iorgos Cramphorn,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-10-31,FALSE,2023-11-29,10,Other,Joanie Cusack,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Qualified
133000,2022-11-05,TRUE,2023-11-29,10,Other,Jojo Vaugham,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-14,FALSE,2023-11-29,18,Advertisement,Farley Ortmann,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Nurturing
,2022-10-30,FALSE,2023-11-29,8,Other,Rabi Ollier,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing
11000,2022-10-21,FALSE,2023-11-29,20,Purchased List,Betsey Jedrasik,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Qualified
10000,2022-10-24,TRUE,2023-11-29,14,Other,vanGogh,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Converted
,2022-11-10,FALSE,2023-11-29,22,Advertisement,Zebadiah Baffin,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Working  - Contacted
,2022-10-14,FALSE,2023-11-29,7,Other,Spears,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
,2022-11-06,FALSE,2023-11-29,12,Employee Referral,Carlo Greeveson,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,New
,2022-10-28,TRUE,2023-11-29,7,Employee Referral,Bose DK,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
30000,2022-10-22,FALSE,2023-11-29,6,Other,Brade Sillett,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Nurturing
,2022-11-02,FALSE,2023-11-29,11,Employee Referral,Ingemar Wincer,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working  - Contacted
,2022-10-23,FALSE,2023-11-29,17,Advertisement,Clari Gladdish,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-10-19,TRUE,2023-11-29,6,Purchased List,Otha Boswood,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Converted
,2022-11-10,FALSE,2023-11-29,10,Employee Referral,Garvey McChruiter,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Working
,2022-10-14,FALSE,2023-11-29,7,Other,Williams,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Working
,2022-10-30,FALSE,2023-11-29,11,Trade Show,Isac Gamble,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing - Contacted
,2022-10-26,TRUE,2023-11-29,11,Employee Referral,Jorge Zoellner,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
75000,2022-11-08,FALSE,2023-11-29,24,Advertisement,Law Tapton,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Working  - Contacted
17500,2022-10-30,FALSE,2023-11-29,19,Other,Catha Randell,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,New
147000,2022-10-19,TRUE,2023-11-29,12,Other,Howie Farlam,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Nurturing
,2022-11-10,FALSE,2023-11-29,13,Other,Ciel Rowland,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Nurturing - Contacted
,2022-11-02,FALSE,2023-11-29,11,Purchased List,Alana Norrey,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-10-23,FALSE,2023-11-29,9,Advertisement,Kirsti Charlo,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Converted
,2022-10-18,TRUE,2023-11-29,6,Employee Referral,Gilemette Moston,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-11-10,FALSE,2023-11-29,5,Other,Creighton Willgoss,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-10-21,FALSE,2023-11-29,14,Other,Taylor,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Working  - Contacted
,2022-11-05,FALSE,2023-11-29,6,Employee Referral,Shirline Cranney,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Converted
,2022-10-22,TRUE,2023-11-29,8,Other,Abbe Roncelli,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,New
,2022-10-18,FALSE,2023-11-29,6,Advertisement,Sheelagh Spinley,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing
,2022-11-01,FALSE,2023-11-29,5,Employee Referral,Kelsey Pragnall,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Nurturing - Contacted
,2022-10-31,FALSE,2023-11-29,12,Trade Show,Khalil Anniwell,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Qualified
,2022-10-24,FALSE,2023-11-29,21,Other,Wyatan Podd,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Qualified
,2022-11-07,TRUE,2023-11-29,6,Purchased List,Catharina Labdon,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working
,2022-10-18,FALSE,2023-11-29,10,Advertisement,Dur Twigge,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-11-09,FALSE,2023-11-29,25,Employee Referral,Michaela Dulen,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Working  - Contacted
,2022-10-31,TRUE,2023-11-29,5,Other,Mandela,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-10-24,FALSE,2023-11-29,18,Other,Gabrielle Hallan,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing - Contacted
28000,2022-10-14,FALSE,2023-11-29,9,Employee Referral,Aubrey McGilmartin,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Converted
150000,2022-11-02,FALSE,2023-11-29,8,Other,Fredelia Normant,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Qualified
,2022-10-21,FALSE,2023-11-29,16,Employee Referral,Nathalia Bestwerthick,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing
